"origin","year","month","day","hour","temp","dewp","humid","wind_dir","wind_speed","wind_gust","precip","pressure","visib","time_hour"
"JFK",2023,1,1,0,NA,NA,NA,0,0,0,NA,NA,0.25,2023-01-01 17:00:00
"JFK",2023,1,1,1,NA,NA,NA,190,4.60312,5.2971784336,NA,NA,2.5,2023-01-01 18:00:00
"JFK",2023,1,1,2,NA,NA,NA,190,5.7539,6.621473042,NA,NA,0.25,2023-01-01 19:00:00
"JFK",2023,1,1,3,NA,NA,NA,250,5.7539,6.621473042,0.02,NA,4,2023-01-01 20:00:00
"JFK",2023,1,1,4,NA,NA,NA,170,8.05546,9.2700622588,NA,NA,0.75,2023-01-01 21:00:00
"JFK",2023,1,1,5,NA,NA,NA,0,0,0,NA,NA,0.75,2023-01-01 22:00:00
"JFK",2023,1,1,6,NA,NA,NA,250,9.20624,10.5943568672,NA,NA,0.24,2023-01-01 23:00:00
"JFK",2023,1,1,7,NA,NA,NA,230,9.20624,10.5943568672,NA,NA,0.5,2023-01-02
"JFK",2023,1,1,8,NA,NA,NA,260,11.5078,13.242946084,NA,NA,8,2023-01-02 01:00:00
"JFK",2023,1,1,9,NA,NA,NA,250,12.65858,14.5672406924,NA,NA,5,2023-01-02 02:00:00
"JFK",2023,1,1,10,NA,NA,NA,240,9.20624,10.5943568672,NA,NA,4,2023-01-02 03:00:00
"JFK",2023,1,1,11,NA,NA,NA,260,11.5078,13.242946084,NA,NA,6,2023-01-02 04:00:00
"JFK",2023,1,1,12,NA,NA,NA,260,9.20624,10.5943568672,NA,NA,8,2023-01-02 05:00:00
"JFK",2023,1,1,13,NA,NA,NA,240,12.65858,14.5672406924,NA,NA,10,2023-01-02 06:00:00
"JFK",2023,1,1,14,NA,NA,NA,230,8.05546,9.2700622588,NA,NA,10,2023-01-02 07:00:00
"JFK",2023,1,1,15,NA,NA,NA,280,12.65858,14.5672406924,NA,NA,10,2023-01-02 08:00:00
"JFK",2023,1,1,16,NA,NA,NA,280,14.96014,17.2158299092,NA,NA,10,2023-01-02 09:00:00
"JFK",2023,1,1,17,NA,NA,NA,300,10.35702,11.9186514756,NA,NA,10,2023-01-02 10:00:00
"JFK",2023,1,1,18,NA,NA,NA,280,14.96014,17.2158299092,NA,NA,10,2023-01-02 11:00:00
"JFK",2023,1,1,19,NA,NA,NA,290,10.35702,11.9186514756,NA,NA,10,2023-01-02 12:00:00
